id,date,receipt price,time of exit
11877,2-8-2022,19.45,16:32:00
11878,2-8-2022,35.90,16:43:00
11879,12-8-2022,49.80,17:49:00
11880,2-8-2022,68.10,18:23:00
11881,28-8-2022,25.45,16:19:00
11884,28-8-2022,17.50,18:18:00
11885,14-8-2022,16.50,16:04:00
11886,2-8-2022,71.30,19:53:00
11889,14-8-2022,47.35,17:09:00
11890,14-8-2022,18.75,18:56:00
11891,2-8-2022,67.80,20:41:00
11892,2-8-2022,135.05,21:27:00
11893,2-8-2022,53.80,21:28:00
11894,2-8-2022,19.45,21:30:00
11896,7-8-2022,47.90,17:32:00
11898,7-8-2022,80.60,18:38:00
11899,3-8-2022,41.20,17:53:00
11900,3-8-2022,88.00,19:08:00
11901,3-8-2022,57.50,19:21:00
11902,3-8-2022,38.50,19:44:00
11903,3-8-2022,43.20,19:49:00
11904,3-8-2022,48.15,20:18:00
11905,3-8-2022,45.80,20:19:00
11906,3-8-2022,32.20,20:21:00
11908,26-8-2022,46.10,19:36:00
11910,4-8-2022,22.70,17:14:00
11912,4-8-2022,49.65,17:30:00
11914,4-8-2022,99.95,18:03:00
11915,4-8-2022,28.90,18:20:00
11916,4-8-2022,43.65,19:14:00
11917,4-8-2022,42.00,19:45:00
11918,24-8-2022,19.45,18:55:00
11920,4-8-2022,53.30,20:25:00
11921,24-8-2022,78.45,19:23:00
11922,24-8-2022,43.85,18:29:00
11923,4-8-2022,112.90,21:05:00
11927,27-8-2022,63.40,19:20:00
11928,4-8-2022,70.85,20:14:00
11930,5-8-2022,126.30,19:45:00
11931,5-8-2022,49.35,19:53:00
11932,5-8-2022,49.15,19:54:00
11934,4-8-2022,54.40,20:56:00
11937,4-8-2022,22.00,16:52:00
11938,4-8-2022,45.10,20:31:00
11940,31-8-2022,75.00,19:55:00
11943,10-8-2022,56.20,19:30:00
11944,5-8-2022,55.00,18:08:00
11947,6-8-2022,43.15,17:58:00
11949,6-8-2022,135.65,18:11:00
11951,5-8-2022,50.50,20:07:00
11952,6-8-2022,100.10,19:12:00
11954,5-8-2022,58.50,19:40:00
11956,7-8-2022,25.75,15:48:00
11957,7-8-2022,41.20,16:26:00
11958,7-8-2022,27.20,17:03:00
11961,7-8-2022,75.00,17:24:00
11965,5-8-2022,14.60,20:41:00
11966,7-8-2022,71.35,17:56:00
11967,17-8-2022,105.40,19:07:00
11968,7-8-2022,48.15,18:52:00
11969,7-8-2022,84.70,18:55:00
11975,7-8-2022,90.40,19:48:00
11976,7-8-2022,43.40,19:52:00
11978,9-8-2022,64.90,18:34:00
11980,9-8-2022,50.50,18:53:00
11981,17-8-2022,70.80,19:50:00
11982,9-8-2022,20.95,19:15:00
11984,9-8-2022,102.45,19:31:00
11985,9-8-2022,38.70,19:37:00
11986,9-8-2022,100.50,19:43:00
11989,9-8-2022,50.70,20:21:00
11991,10-8-2022,36.95,17:10:00
11998,10-8-2022,57.25,18:40:00
11999,2-8-2022,50.80,17:41:00
12000,10-8-2022,83.50,20:12:00
12001,11-8-2022,75.60,18:42:00
12002,2-8-2022,92.00,20:17:00
12004,11-8-2022,57.00,20:14:00
12005,11-8-2022,38.45,20:19:00
12006,12-8-2022,20.45,16:23:00
12007,12-8-2022,45.90,17:11:00
12008,12-8-2022,39.95,17:22:00
12009,2-8-2022,53.00,19:38:00
12010,12-8-2022,50.35,18:00:00
12011,12-8-2022,46.40,19:28:00
12012,12-8-2022,47.40,19:29:00
12013,12-8-2022,55.40,20:55:00
12016,2-8-2022,118.50,18:55:00
12020,13-8-2022,16.50,16:37:00
12024,2-8-2022,16.50,18:31:00
12025,2-8-2022,50.90,20:25:00
12026,3-8-2022,66.40,17:01:00
12027,3-8-2022,45.00,17:51:00
12028,13-8-2022,45.40,19:15:00
12029,13-8-2022,45.20,19:27:00
12031,27-8-2022,43.20,17:57:00
12033,14-8-2022,38.50,15:52:00
12034,14-8-2022,19.45,15:54:00
12035,14-8-2022,19.75,16:03:00
12036,20-8-2022,114.70,20:25:00
12037,20-8-2022,44.15,19:55:00
12039,14-8-2022,51.40,18:29:00
12040,20-8-2022,100.40,19:03:00
12041,14-8-2022,143.55,19:13:00
12054,17-8-2022,54.50,18:09:00
12055,17-8-2022,47.40,19:00:00
12056,20-8-2022,56.25,18:13:00
12057,20-8-2022,97.60,18:34:00
12058,18-8-2022,21.45,17:06:00
12059,18-8-2022,60.95,18:28:00
12060,19-8-2022,18.75,15:36:00
12061,19-8-2022,111.55,17:57:00
12062,19-8-2022,41.90,18:19:00
12063,19-8-2022,60.25,18:26:00
12065,19-8-2022,55.90,19:29:00
12066,19-8-2022,140.05,19:39:00
12067,20-8-2022,39.20,18:41:00
12068,19-8-2022,19.75,20:15:00
12069,20-8-2022,31.95,16:04:00
12071,23-8-2022,268.85,19:23:00
12072,23-8-2022,103.55,16:59:00
12073,19-8-2022,88.70,20:07:00
12074,13-8-2022,71.60,19:01:00
12075,13-8-2022,126.00,21:30:00
12076,13-8-2022,20.25,16:31:00
12077,13-8-2022,40.00,17:55:00
12078,13-8-2022,44.50,18:50:00
12079,13-8-2022,35.00,18:52:00
12080,21-8-2022,46.95,17:30:00
12081,21-8-2022,53.40,17:37:00
12082,21-8-2022,53.85,17:55:00
12083,21-8-2022,46.40,18:54:00
12085,21-8-2022,58.60,19:27:00
12086,23-8-2022,79.00,14:34:00
12087,11-8-2022,64.25,19:20:00
12088,23-8-2022,70.80,19:17:00
12090,9-8-2022,43.95,19:11:00
12092,23-8-2022,64.70,20:20:00
12093,23-8-2022,50.85,20:22:00
12095,23-8-2022,58.90,20:29:00
12096,23-8-2022,46.95,20:54:00
12098,6-8-2022,75.00,16:41:00
12099,6-8-2022,35.00,19:49:00
12100,6-8-2022,114.35,19:01:00
12101,24-8-2022,45.40,19:25:00
