date,receipt price,time of exit,dow,is w,is nem,toe hour,toe minute,toe as n
2022-08-02,19.45,1900-01-01 16:32:00,1,False,False,16,32,16.533333333333335
2022-08-02,35.9,1900-01-01 16:43:00,1,False,False,16,43,16.716666666666665
2022-08-12,49.8,1900-01-01 17:49:00,4,False,True,17,49,17.816666666666666
2022-08-02,68.1,1900-01-01 18:23:00,1,False,False,18,23,18.383333333333333
2022-08-28,25.45,1900-01-01 16:19:00,6,True,False,16,19,16.316666666666666
2022-08-28,17.5,1900-01-01 18:18:00,6,True,False,18,18,18.3
2022-08-14,16.5,1900-01-01 16:04:00,6,True,False,16,4,16.066666666666666
2022-08-02,71.3,1900-01-01 19:53:00,1,False,False,19,53,19.883333333333333
2022-08-14,47.35,1900-01-01 17:09:00,6,True,False,17,9,17.15
2022-08-14,18.75,1900-01-01 18:56:00,6,True,False,18,56,18.933333333333334
2022-08-02,67.8,1900-01-01 20:41:00,1,False,False,20,41,20.683333333333334
2022-08-02,135.05,1900-01-01 21:27:00,1,False,False,21,27,21.45
2022-08-02,53.8,1900-01-01 21:28:00,1,False,False,21,28,21.466666666666665
2022-08-02,19.45,1900-01-01 21:30:00,1,False,False,21,30,21.5
2022-08-07,47.9,1900-01-01 17:32:00,6,True,False,17,32,17.533333333333335
2022-08-07,80.6,1900-01-01 18:38:00,6,True,False,18,38,18.633333333333333
2022-08-03,41.2,1900-01-01 17:53:00,2,False,False,17,53,17.883333333333333
2022-08-03,88.0,1900-01-01 19:08:00,2,False,False,19,8,19.133333333333333
2022-08-03,57.5,1900-01-01 19:21:00,2,False,False,19,21,19.35
2022-08-03,38.5,1900-01-01 19:44:00,2,False,False,19,44,19.733333333333334
2022-08-03,43.2,1900-01-01 19:49:00,2,False,False,19,49,19.816666666666666
2022-08-03,48.15,1900-01-01 20:18:00,2,False,False,20,18,20.3
2022-08-03,45.8,1900-01-01 20:19:00,2,False,False,20,19,20.316666666666666
2022-08-03,32.2,1900-01-01 20:21:00,2,False,False,20,21,20.35
2022-08-26,46.1,1900-01-01 19:36:00,4,False,True,19,36,19.6
2022-08-04,22.7,1900-01-01 17:14:00,3,False,False,17,14,17.233333333333334
2022-08-04,49.65,1900-01-01 17:30:00,3,False,False,17,30,17.5
2022-08-04,99.95,1900-01-01 18:03:00,3,False,False,18,3,18.05
2022-08-04,28.9,1900-01-01 18:20:00,3,False,False,18,20,18.333333333333332
2022-08-04,43.65,1900-01-01 19:14:00,3,False,False,19,14,19.233333333333334
