id,date,total,time of exit
12009,12-8-2022,"49,80",17:49
12127,28-8-2022,"25,45",16:19
12131,28-8-2022,"17,50",18:18
12036,14-8-2022,"16,50",16:04
12037,14-8-2022,"47,35",17:09
12040,14-8-2022,"18,75",18:56
11965,7-8-2022,"47,90",17:32
11967,7-8-2022,"80,60",18:38
12117,26-8-2022,"46,10",19:36
12099,24-8-2022,"19,45",18:55
12100,24-8-2022,"78,45",19:23
12098,24-8-2022,"43,85",18:29
12124,27-8-2022,"63,40",19:20
11918,4-8-2022,"70,85",20:14
11922,4-8-2022,"54,40",20:56
11908,4-8-2022,"22,00",16:52
11921,4-8-2022,"45,10",20:31
12137,31-8-2022,"75,00",19:55
11999,10-8-2022,"56,20",19:30
11927,5-8-2022,"55,00",18:08
11934,5-8-2022,"50,50",20:07
11928,5-8-2022,"58,50",19:40
11937,5-8-2022,"14,60",20:41
12056,17-8-2022,"105,40",19:07
12057,17-8-2022,"70,80",19:50
11879,2-8-2022,"50,80",17:41
11889,2-8-2022,"92,00",20:17
11885,2-8-2022,"53,00",19:38
11884,2-8-2022,"118,50",18:55
11881,2-8-2022,"16,50",18:31
11890,2-8-2022,"50,90",20:25
11896,3-8-2022,"66,40",17:01
11898,3-8-2022,"45,00",17:51
12122,27-8-2022,"43,20",17:57
12079,20-8-2022,"114,70",20:25
12078,20-8-2022,"44,15",19:55
12074,20-8-2022,"100,40",19:03
12071,20-8-2022,"56,25",18:13
12072,20-8-2022,"97,60",18:34
12073,20-8-2022,"39,20",18:41
12090,23-8-2022,"268,85",19:23
12087,23-8-2022,"103,55",16:59
12067,19-8-2022,"88,70",20:07
12027,13-8-2022,"71,60",19:01
12031,13-8-2022,"126,00",21:30
12016,13-8-2022,"20,25",16:31
12024,13-8-2022,"40,00",17:55
12025,13-8-2022,"44,50",18:50
12026,13-8-2022,"35,00",18:52
12002,11-8-2022,"64,25",19:20
11981,9-8-2022,"43,95",19:11
11940,6-8-2022,"75,00",16:41
11954,6-8-2022,"35,00",19:49
11951,6-8-2022,"114,35",19:01
11938,6-8-2022,"48,15",16:30
11943,6-8-2022,"60,90",17:03
11944,6-8-2022,"109,00",17:28
12077,20-8-2022,"63,70",19:28
12076,20-8-2022,"71,85",19:14
12075,20-8-2022,"46,20",19:05
